Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
C2_03_020,6503.218648872001,2526051723,11399.971594960067,1902735059,2813.7658402701286,623316664
C2_03_021,6688.488658269568,2605694723,11691.83385135862,1956067187,2922.603490239656,649627536
C2_03_022,6948.632768419831,2695826312,12098.372587786305,2019351467,3060.224402182272,676474845
C2_03_023,7201.217351103258,2803772372,12505.515970325489,2096999951,3188.5285232855576,706772421
C2_03_024,7536.735566937159,2920974920,12980.897298617148,2179674389,3374.9016894983406,741300531
C2_03_025,7780.10566212991,3015374452,13333.429148834997,2243216120,3520.45196617047,772158332
C2_03_026,8051.150402797952,3126132883,13737.479548576219,2310355573,3706.3097612503125,815777310
C2_03_027,8422.694210763895,3283974782,14422.938431734867,2419664266,3890.9945752731496,864310516
C2_03_028,8701.312987790618,3385915819,14640.317394722995,2476395047,4134.598787151443,909520772
C2_03_029,9096.669460244773,3543916875,15346.217359327644,2587387593,4328.519759438509,956529282
C2_03_030,9409.3787156076,3677034652,15876.839101126263,2675596679,4505.664364578741,1001437973
C2_03_031,9692.394837647227,3790327310,16274.315292289812,2744402885,4702.305577535202,1045924425
C2_03_032,10012.848429082193,3901135915,16635.042898488966,2810606943,4942.21309187151,1090528972
C2_03_033,10355.378802813115,4044800605,17159.989705266016,2907022376,5143.848914065608,1137778229
C2_03_034,10717.041115084325,4183847115,17690.26902552478,2996802334,5371.535020001086,1187044781
C2_03_035,11048.673205909374,4317478980,18158.53332194021,3081375995,5591.303375309848,1236102985
C2_03_036,11455.422770973872,4472907286,18745.73378110302,3184506509,5840.888812827824,1288400777
C2_03_037,11846.579250654124,4631787402,19472.691734776916,3302140119,6005.552241839541,1329647283
C2_03_038,12099.753645999413,4743163928,19827.871655323444,3359059565,6218.066807730666,1384104363
C2_03_039,12409.24924252303,4853269788,20117.93203426804,3421476819,6477.821874858617,1431792969
C2_03_040,12794.188555505087,5013709846,20694.145366334425,3527503325,6712.3118171758915,1486206521
